date,FA384104005.Q,FA154104005.Q,FA153165105.Q,FA153166000.Q,FA144104005.Q,FA104104005.Q,FA314104005.Q,FA214104005.Q,FA794104005.Q,FA264104005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-9240,6625,4394,2977,7166,5301,-23079,48,-447,2303
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,12721,8846,5167,3521,8653,6914,-6408,1630,15,4081
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,12435,8510,5155,3034,7407,6093,-4886,1404,2041,1212
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,15333,7850,3984,3042,2965,1583,3617,901,1316,353
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,26923,13572,7844,4573,9154,6048,-395,4592,2718,142
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,22972,8602,6542,1403,11722,8429,272,2376,816,599
1952:Q1,35018,9010,6252,2386,6492,4456,11188,8328,-2500,936
1952:Q2,38094,13290,6388,6382,9132,5711,4880,10792,5496,860
1952:Q3,32286,11442,6676,4542,9624,7121,6456,4764,-1016,204
1952:Q4,32246,14850,7180,7378,9676,7622,2768,4952,5524,208
1953:Q1,32961,16637,7520,7897,7040,6454,4408,4876,-1644,664
1953:Q2,30541,13721,8352,3529,6028,3794,5804,4988,2976,924
1953:Q3,40089,9589,7192,3097,6592,4225,18880,5028,4472,1708
1953:Q4,15909,10305,7024,1845,-576,937,1108,5072,2164,1192
1954:Q1,18477,7245,6836,-739,6112,4400,8,5112,-4064,564
1954:Q2,23561,10809,8560,1249,4704,1499,2748,5300,3948,-556
1954:Q3,26625,13213,10108,1305,8676,4591,-540,5276,380,-420
1954:Q4,37641,17913,12168,3581,5104,3884,9048,5576,2204,808
1955:Q1,31173,21137,12772,6153,6908,4220,-2376,5504,204,-440
1955:Q2,42333,23709,13356,8169,13572,8067,-56,5108,4480,256
1955:Q3,37209,20785,12484,7577,11712,6869,-208,4920,3448,-32
1955:Q4,43021,18809,11708,6045,17392,14747,2168,4652,4784,152
1956:Q1,29169,16277,11036,5397,12680,10302,-4260,4472,1972,656
1956:Q2,20229,15525,11388,3445,15112,10718,-14836,4428,2232,1024
1956:Q3,26525,12369,10404,2953,12524,8414,-2464,4096,1612,304
1956:Q4,31553,15177,10408,2729,11032,9549,1408,3936,2404,920
1957:Q1,35643,14391,9936,3195,12344,11175,4940,3968,532,1292
