date,FL344090045.Q,FL343020033.Q,LM344022045.Q,LM343061165.Q,LM343061733.Q,LM343062033.Q,LM343063033.Q,FL343069245.Q,LM343064135.Q,FL343073045.Q,FL344190045.Q
1945:Q4,24792,0,0,0,0,0,0,2903,0,21889,24792
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,29054,0,0,0,0,0,0,3273,0,25781,29054
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,32968,0,0,0,0,0,0,4096,0,28872,32968
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36953,0,0,0,0,0,0,4919,0,32034,36953
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,41313,0,0,0,0,0,0,5959,0,35354,41313
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45852,0,0,0,0,0,0,6743,0,39109,45852
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51985,0,0,0,0,0,0,7453,0,44532,51985
1952:Q1,53758,0,0,0,0,0,0,7552,0,46206,53758
1952:Q2,55703,0,0,0,0,0,0,7938,0,47765,55703
1952:Q3,57558,0,0,0,0,0,0,8363,0,49195,57558
1952:Q4,59378,0,0,0,0,0,0,8411,0,50967,59378
1953:Q1,61262,0,0,0,0,0,0,8471,0,52791,61262
1953:Q2,63222,0,0,0,0,0,0,8804,0,54418,63222
1953:Q3,65121,0,0,0,0,0,0,8902,0,56219,65121
1953:Q4,66997,0,0,0,0,0,0,8941,0,58056,66997
1954:Q1,68881,0,0,0,0,0,0,8961,0,59920,68881
1954:Q2,70853,0,0,0,0,0,0,9273,0,61580,70853
1954:Q3,72696,0,0,0,0,0,0,9281,0,63415,72696
1954:Q4,74607,0,0,0,0,0,0,9359,0,65248,74607
1955:Q1,76539,0,0,0,0,0,0,9347,0,67192,76539
1955:Q2,78583,0,0,0,0,0,0,9702,0,68881,78583
1955:Q3,80534,0,0,0,0,0,0,9975,0,70559,80534
1955:Q4,82484,0,0,0,0,0,0,10048,0,72436,82484
1956:Q1,84514,0,0,0,0,0,0,10061,0,74453,84514
1956:Q2,86640,0,0,0,0,0,0,10377,0,76263,86640
1956:Q3,88661,0,0,0,0,0,0,10918,0,77743,88661
1956:Q4,90667,0,0,0,0,0,0,10911,0,79756,90667
1957:Q1,94837,0,0,0,0,0,0,10924,0,83913,94837
1957:Q2,99090,0,0,0,0,0,0,11224,0,87866,99090
1957:Q3,103254,0,0,0,0,0,0,11270,0,91984,103254
1957:Q4,107412,0,0,0,0,0,0,11346,0,96066,107412
1958:Q1,109839,0,0,0,0,0,0,11511,0,98328,109839
1958:Q2,112331,0,0,0,0,0,0,11859,0,100472,112331
1958:Q3,114856,0,0,0,0,0,0,12170,0,102686,114856
1958:Q4,117258,0,0,0,0,0,0,12280,0,104978,117258
1959:Q1,119752,0,0,0,0,0,0,12413,0,107339,119752
1959:Q2,122333,0,0,0,0,0,0,12798,0,109535,122333
1959:Q3,125047,0,0,0,0,0,0,13121,0,111926,125047
1959:Q4,127488,0,0,0,0,0,0,13164,0,114324,127488
1960:Q1,130071,0,0,0,0,0,0,13251,0,116820,130071
1960:Q2,133065,0,0,0,0,0,0,13936,0,119129,133065
1960:Q3,135644,0,0,0,0,0,0,14038,0,121606,135644
1960:Q4,138190,0,0,0,0,0,0,14090,0,124100,138190
1961:Q1,140868,0,0,0,0,0,0,14141,0,126727,140868
1961:Q2,143994,0,0,0,0,0,0,14927,0,129067,143994
1961:Q3,146706,0,0,0,0,0,0,14996,0,131710,146706
1961:Q4,149370,0,0,0,0,0,0,15006,0,134364,149370
1962:Q1,152244,0,0,0,0,0,0,15054,0,137190,152244
1962:Q2,155598,0,0,0,0,0,0,15908,0,139690,155598
1962:Q3,158460,0,0,0,0,0,0,15923,0,142537,158460
1962:Q4,161357,0,0,0,0,0,0,15999,0,145358,161357
1963:Q1,164388,0,0,0,0,0,0,16048,0,148340,164388
1963:Q2,167946,0,0,0,0,0,0,17000,0,150946,167946
1963:Q3,170982,0,0,0,0,0,0,17073,0,153909,170982
1963:Q4,174049,0,0,0,0,0,0,17160,0,156889,174049
1964:Q1,177283,0,0,0,0,0,0,17268,0,160015,177283
1964:Q2,181023,0,0,0,0,0,0,18179,0,162844,181023
1964:Q3,184288,0,0,0,0,0,0,18348,0,165940,184288
1964:Q4,187524,0,0,0,0,0,0,18409,0,169115,187524
1965:Q1,190957,0,0,0,0,0,0,18480,0,172477,190957
1965:Q2,194964,0,0,0,0,0,0,19550,0,175414,194964
1965:Q3,198420,0,0,0,0,0,0,19728,0,178692,198420
1965:Q4,201840,0,0,0,0,0,0,19724,0,182116,201840
1966:Q1,205597,0,0,0,0,0,0,19747,0,185850,205597
1966:Q2,209964,0,0,0,0,0,0,20835,0,189129,209964
1966:Q3,213730,0,0,0,0,0,0,20935,0,192795,213730
1966:Q4,217532,0,0,0,0,0,0,20977,0,196555,217532
1967:Q1,221609,0,0,0,0,0,0,20925,0,200684,221609
1967:Q2,226338,0,0,0,0,0,0,22043,0,204295,226338
1967:Q3,230370,0,0,0,0,0,0,22074,0,208296,230370
1967:Q4,234447,0,0,0,0,0,0,22292,0,212155,234447
