date,FL314090005.Q,FL313011005.Q,FL313020005.Q,FL313030003.Q,FL314022005.Q,FL313061703.Q,FL313063763.Q,FL314023005.Q,FL313069005.Q,FL313065005.Q,FL313066220.Q,LM313064105.Q,FL313081115.Q,FL313070000.Q,FL313078000.Q,FL313091105.Q,FL314190005.Q,LM313111303.Q,FL713014003.Q,FL313112003.Q,FL314122005.Q,FL313161105.Q,FL313161705.Q,FL314123005.Q,FL313165403.Q,FL313169005.Q,FL313169205.Q,FL313140003.Q,FL313170005.Q,FL313190005.Q,FL343073045.Q,FL313172003.Q,FL313190015.Q
1945:Q4,44257,18,26937,104,0,0,0,5846,4462,1384,0,0,443,900,9607,402,289466,0,0,2310,208547,208239,308,45838,0,45838,45838,3593,2679,26499,21889,0,4610
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,22104,-71,4214,120,0,0,0,8611,7573,1038,0,0,700,100,8218,212,269522,0,0,2436,183882,183777,105,47424,0,47424,47424,4758,666,30356,25781,0,4575
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29561,1330,3662,111,0,0,0,12577,11632,945,0,0,991,0,10566,324,265860,0,0,2408,174566,174498,68,50332,0,50332,50332,5363,0,33191,28872,0,4319
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33241,1729,4847,117,0,0,0,13940,12949,991,0,0,994,0,11378,236,264058,0,0,2403,167256,166341,915,52756,0,52756,52756,5576,0,36067,32034,0,4033
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,32536,1878,5186,182,0,0,0,14797,13689,1108,0,0,970,0,9114,409,270600,0,0,2384,168370,167366,1004,55259,0,55259,55259,5660,0,38927,35354,0,3573
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,40773,1594,4948,190,0,0,0,15752,14077,1675,0,0,930,400,16515,444,275102,0,0,2374,166939,166557,382,56295,0,56295,56295,5969,1100,42425,39109,0,3316
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,48273,1631,5067,278,5,5,0,17070,14767,2303,0,0,874,1300,21601,447,282552,0,0,2398,166972,166727,245,56534,0,56534,56534,6142,2700,47806,44532,0,3274
1952:Q1,52683,1634,8275,290,14,14,0,17510,14944,2566,0,0,874,1600,22045,441,282672,0,0,2413,165568,165360,208,56633,0,56633,56633,6157,2500,49401,46206,0,3195
1952:Q2,53394,1663,8305,317,4,4,0,17821,15218,2603,0,0,874,2000,21975,435,283889,0,0,2420,165084,165031,53,56948,0,56948,56948,6177,2400,50860,47765,0,3095
1952:Q3,41496,1671,8420,325,2,2,0,18250,15580,2670,0,0,874,2200,9332,422,288975,0,0,2429,168264,167863,401,57389,0,57389,57389,6185,2500,52208,49195,0,3013
1952:Q4,43748,1557,7438,351,2,2,0,18645,15782,2863,0,0,874,2251,12197,433,295122,0,0,2435,172245,171619,626,57584,0,57584,57584,6185,2775,53898,50967,0,2931
1953:Q1,47172,1578,8240,345,54,54,0,18995,15944,3051,0,0,874,2577,14065,444,294100,0,0,2438,168919,168191,728,57992,0,57992,57992,6193,2883,55675,52791,0,2884
1953:Q2,47903,1506,6017,340,20,20,0,19793,16594,3199,0,0,874,2490,16441,422,295503,0,0,2451,168864,168581,283,58062,0,58062,58062,6211,2679,57236,54418,0,2818
1953:Q3,42304,1561,8770,344,1,1,0,20459,17171,3288,0,0,874,2514,7363,418,303960,0,0,2458,175443,175018,425,58165,0,58165,58165,6236,2667,58991,56219,0,2772
1953:Q4,41834,1471,5906,342,0,0,0,20602,17344,3258,0,0,874,2214,10005,420,309454,0,0,2469,179067,176814,2253,58312,0,58312,58312,6259,2600,60747,58056,0,2691
1954:Q1,44126,1429,7772,344,18,18,0,20519,17329,3190,0,0,866,2527,10256,395,307560,0,0,2491,175111,172200,2911,58382,0,58382,58382,6246,2763,62567,59920,0,2647
1954:Q2,44747,1439,8223,335,8,8,0,20141,16962,3179,0,0,845,2416,10886,454,307986,0,0,2501,173917,171915,2002,58818,0,58818,58818,6187,2412,64151,61580,0,2571
1954:Q3,36429,1264,6155,344,6,6,0,20204,16888,3316,0,0,845,2608,4482,521,311433,0,0,2503,175582,175045,537,58984,0,58984,58984,6087,2308,65969,63415,0,2554
1954:Q4,38774,1302,5567,370,1,1,0,20375,16950,3425,0,0,938,2445,7245,531,318755,0,0,2505,180870,178532,2338,59325,0,59325,59325,5960,2366,67729,65248,0,2481
1955:Q1,41930,1221,5564,374,7,7,0,20614,17157,3457,0,0,938,2472,10107,633,316353,0,0,2508,176568,173973,2595,59512,0,59512,59512,5861,2220,69684,67192,0,2492
1955:Q2,46832,1235,6987,370,8,8,0,20856,17305,3551,0,0,938,2333,13373,732,316136,0,0,2507,174547,172997,1550,59886,0,59886,59886,5809,2145,71242,68881,0,2361
1955:Q3,38561,1198,6179,352,4,4,0,20943,17371,3572,0,0,938,2229,5911,807,319551,0,0,2507,176099,175191,908,60153,0,60153,60153,5810,2166,72816,70559,0,2257
1955:Q4,40936,1168,5297,357,20,20,0,20938,17316,3622,0,0,938,2274,9070,874,325320,0,0,2507,179800,178189,1611,60277,0,60277,60277,5795,2283,74658,72436,0,2222
1956:Q1,44675,1127,7778,351,15,15,0,20894,17269,3625,0,0,938,2266,10322,984,323029,0,0,2509,175341,173724,1617,60458,0,60458,60458,5853,2289,76579,74453,0,2126
1956:Q2,46837,1076,7178,331,14,14,0,21138,17504,3634,0,0,935,2516,12544,1105,319459,0,0,2512,169653,168502,1151,60697,0,60697,60697,5943,2302,78352,76263,0,2089
1956:Q3,39835,1231,6961,330,6,6,0,21167,17536,3631,0,0,970,2493,5387,1290,322258,0,0,2517,170393,169476,917,61156,0,61156,61156,6029,2367,79796,77743,0,2053
1956:Q4,41570,1776,5009,330,9,9,0,21590,17946,3644,0,0,970,2350,8099,1437,328030,0,0,2526,173993,172637,1356,61046,0,61046,61046,6098,2608,81759,79756,0,2003
1957:Q1,46674,1718,8235,340,20,20,0,21610,17915,3695,0,0,1045,2455,9557,1694,330519,0,0,2533,172865,171487,1378,60526,0,60526,60526,6144,2534,85917,83913,0,2004
1957:Q2,47029,1791,6467,326,18,18,0,21405,17668,3737,0,0,1038,2638,11357,1989,328394,0,0,2544,166983,166057,926,60364,0,60364,60364,6166,2479,89858,87866,0,1992
1957:Q3,42397,2045,7967,340,19,19,0,21631,17818,3813,0,0,1038,2568,4667,2122,336360,0,0,2552,171373,170669,704,59970,48,59922,59922,6178,2427,93860,91984,0,1876
1957:Q4,42333,2080,5145,301,13,13,0,22182,18257,3925,0,0,1038,2261,7252,2061,342531,0,0,2562,173522,171843,1679,59718,96,59622,59622,6185,2769,97775,96066,0,1709
1958:Q1,44549,2174,6857,270,55,55,0,22457,18464,3993,0,0,1038,2123,7393,2182,343861,0,0,2578,172335,170060,2275,60079,222,59857,59857,6192,2667,100010,98328,0,1682
1958:Q2,49237,2187,10556,274,26,26,0,22601,18551,4050,0,0,1034,1946,8245,2368,348439,0,0,2590,174576,173354,1222,60396,347,60049,60049,6203,2606,102068,100472,0,1596
1958:Q3,39798,2178,5516,300,7,7,0,23003,18900,4103,0,0,1028,1816,3476,2474,351634,0,0,2593,175205,173914,1291,60635,439,60196,60196,6219,2674,104308,102686,0,1622
1958:Q4,43828,2041,5453,327,3,3,0,23626,19291,4335,0,0,1028,1723,7227,2400,361562,0,0,2600,182694,181096,1598,60680,532,60148,60148,6241,2832,106515,104978,0,1537
1959:Q1,43507,1871,4986,320,2,2,0,24339,19580,4759,0,0,1031,1692,6810,2456,363576,0,0,2606,182432,181118,1314,60626,581,60045,60045,6268,2802,108842,107339,0,1503
1959:Q2,46419,2186,5914,331,6,6,0,25133,19950,5183,0,0,1034,1687,7543,2585,366280,0,0,2621,183072,182046,1026,60630,632,59998,59998,6299,2679,110979,109535,0,1444
1959:Q3,46445,2346,7379,320,15,15,0,25594,20113,5481,0,0,1027,1702,5649,2413,372938,0,0,2626,187487,186548,939,60511,739,59772,59772,6327,2669,113318,111926,0,1392
1959:Q4,45931,2110,6111,285,2,2,0,25682,20077,5605,0,0,1029,1722,6578,2412,378744,0,0,2639,191097,190148,949,60083,847,59236,59236,6350,2903,115672,114324,0,1348
1960:Q1,44550,1993,5762,280,47,47,0,25884,20355,5529,0,0,1029,1822,5180,2553,377771,0,0,2652,187429,186451,978,60099,947,59152,59152,6371,3108,118112,116820,0,1292
1960:Q2,46547,1928,8627,290,16,16,0,26175,20602,5573,0,0,1111,1771,3926,2703,378343,0,0,2661,185278,184325,953,60655,1049,59606,59606,6389,2997,120363,119129,0,1234
1960:Q3,48138,1851,8918,280,4,4,0,26411,20740,5671,0,0,1115,1761,5000,2798,382392,0,0,2673,186622,186230,392,60817,1150,59667,59667,6406,3078,122796,121606,0,1190
1960:Q4,47361,1693,7154,262,37,37,0,26678,20878,5800,0,0,1194,1790,5613,2940,387804,0,0,2686,189038,188350,688,61034,1252,59782,59782,6426,3359,125261,124100,0,1161
1961:Q1,44375,1659,5382,300,36,36,0,27299,21414,5885,0,0,1194,1792,3696,3017,388570,0,0,2691,186622,185688,934,61519,1306,60213,60213,6447,3444,127847,126727,0,1120
1961:Q2,45659,1868,7457,288,13,13,0,27148,21171,5977,0,0,1198,1749,2818,3120,391577,0,0,2707,186650,185994,656,62382,1360,61022,61022,6469,3211,130158,129067,0,1091
1961:Q3,51019,2214,9428,300,37,37,0,27884,21776,6108,0,0,1187,1798,5037,3134,399620,0,0,2723,191477,191041,436,62792,1417,61375,61375,6493,3365,132770,131710,0,1060
1961:Q4,50836,1911,7055,284,35,35,0,28340,22091,6249,0,0,1359,1776,6875,3201,406454,0,0,2740,195201,194206,995,62975,1474,61501,61501,6519,3618,135401,134364,0,1037
1962:Q1,50542,1686,7435,290,38,38,0,29037,22737,6300,0,0,1360,1780,5667,3249,409726,0,0,2748,195596,194302,1294,63336,1554,61782,61782,6548,3410,138088,137190,0,898
1962:Q2,53973,1665,10910,300,8,8,0,29620,23325,6295,0,0,1362,1821,4887,3400,412990,0,0,2757,195356,194009,1347,64281,1635,62646,62646,6579,3465,140552,139690,0,862
1962:Q3,53512,1238,9864,270,5,5,0,29762,23468,6294,0,0,1351,1886,5661,3475,416509,0,0,2749,195649,194901,748,64494,1683,62811,62811,6612,3634,143371,142537,0,834
1962:Q4,53841,1209,8098,269,0,0,0,30323,24002,6321,0,0,1475,2005,7016,3446,425672,0,0,2760,201292,199754,1538,64752,1734,63018,63018,6644,4051,146173,145358,0,815
1963:Q1,54105,1265,8646,260,10,10,0,31006,24734,6272,0,0,1477,2292,5653,3496,429309,0,0,2769,201566,199827,1739,65204,1759,63445,63445,6677,3964,149129,148340,0,789
1963:Q2,58416,1312,12595,254,59,59,0,31116,25187,5929,0,0,1486,2545,5287,3762,432247,0,0,2779,200583,199094,1489,66740,1786,64954,64954,6711,3758,151676,150946,0,730
1963:Q3,57532,1237,10100,250,41,41,0,31288,25421,5867,0,0,1473,2500,6850,3793,435179,0,0,2788,200269,199333,936,66842,1790,65052,65052,6744,3925,154611,153909,0,702
1963:Q4,57473,1229,7671,260,29,29,0,31848,25926,5922,0,0,1482,2490,8571,3893,442546,0,0,2806,203578,202211,1367,67430,1796,65634,65634,6775,4381,157576,156889,0,687
1964:Q1,58020,1173,9058,260,21,21,0,32554,26620,5934,0,0,1468,2553,7108,3825,445839,0,0,2825,203756,202520,1236,67502,1793,65709,65709,6803,4268,160685,160015,0,670
1964:Q2,60107,1053,11686,257,14,14,0,33196,27319,5877,0,0,1519,2573,6057,3752,447826,0,0,2841,202169,200805,1364,68638,1787,66851,66851,6827,3914,163437,162844,0,593
1964:Q3,60986,940,10996,240,20,20,0,33987,28113,5874,0,0,1475,2675,6923,3730,454005,0,0,2855,204678,203501,1177,69018,1805,67213,67213,6851,4088,166515,165940,0,575
1964:Q4,60522,1034,8165,272,12,12,0,34633,28760,5873,0,0,1529,2734,8231,3912,462165,0,0,2830,208989,206767,2222,69320,1826,67494,67494,6879,4476,169671,169115,0,556
