date,FU893150005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU263150005.Q,FU893150005.Q,FU153050005.Q,FU543050005.Q,FU543151905.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6705,400,1380,4047,878,0,6705,6705,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7057,500,1517,3946,1094,0,7057,7057,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,7357,600,1364,4061,1332,0,7357,7357,0,0,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7904,625,1270,4470,1539,0,7904,7904,0,0,ND,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,8430,775,1002,4967,1686,0,8430,8430,0,0,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,13803,975,4564,6409,1855,0,13803,13803,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q1,3976,270,1436,1773,497,0,3976,3976,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q2,3921,284,1195,1932,510,0,3921,3921,0,0,ND,ND,ND,ND,ND,ND,ND
1952:Q3,3900,288,1192,1897,523,0,3900,3900,0,0,ND,ND,ND,ND,ND,ND,ND
