date,FA313161105.Q,FA313161110.Q,FA313161275.Q,FA893061105.Q,FA153061105.Q,FA103061103.Q,FA113061003.Q,FA213061103.Q,FA713061103.Q,FA713061113.Q,FA713061125.Q,FA763061100.Q,FA753061103.Q,FA743061103.Q,FA473061105.Q,FA513061105.Q,FA513061115.Q,FA513061125.Q,FA543061105.Q,FA543061115.Q,FA543061125.Q,FA573061105.Q,FA573061143.Q,FA573061133.Q,FA343061105.Q,FA343061165.Q,FA343061113.Q,FA223061143.Q,FA633061105.Q,FA633061110.Q,FA633061120.Q,FA653061105.Q,FA653061113.Q,FA653061125.Q,FA553061103.Q,FA563061103.Q,FA403061105.Q,FA673061103.Q,FA663061105.Q,FA733061103.Q,FA503061123.Q,FA263061105.Q,FA263061110.Q,FA263061120.Q,FA313169205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-24462,-8172,-16290,-24462,-2606,-5729,0,-352,-912,1046,-1958,-15158,-44,-65,0,594,0,594,1046,0,1046,49,37,12,0,0,0,152,0,0,0,-5,0,-5,1,0,5,0,-964,0,0,-474,0,-474,1586
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-9279,-10664,1385,-9279,-2147,-488,0,711,-791,-4011,3220,-5636,-24,-96,15,591,0,591,-1595,0,-1595,51,38,13,0,0,0,189,0,0,0,12,0,12,15,0,-31,0,-655,0,0,600,0,600,2908
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
