date,FU226330005.Q,FU225013005.Q,FU224090005.Q,FU223020043.Q,FU223030043.Q,FU223034005.Q,FU222051043.Q,FU224022045.Q,FU223069143.Q,FU223061143.Q,FU223061743.Q,FU223062043.Q,FU223063045.Q,FU223065043.Q,FU223064145.Q,FU223064205.Q,FU223090005.Q,FU223095505.Q,FU223073045.Q,FU223093005.Q,FU224190005.Q,FU224090045.Q,FU224090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,878,8,0,0,0,258,0,152,0,86,20,3,1,0,608,0,608,0,878,878,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,1094,8,0,0,0,321,0,189,0,102,30,4,2,0,759,0,759,0,1094,1094,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,1332,6,0,0,0,419,0,213,0,129,77,10,3,0,894,0,894,0,1332,1332,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,1539,10,0,0,0,502,0,184,0,183,135,17,7,0,1003,0,1003,0,1539,1539,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,1,1685,18,0,0,0,624,0,241,0,200,183,23,9,0,1011,0,1011,0,1686,1685,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,1,1854,19,0,0,0,699,0,420,0,163,116,30,12,0,1094,0,1094,0,1855,1854,0
1952:Q1,0,0,497,5,0,0,0,241,0,152,5,39,45,8,3,0,240,0,240,0,497,497,0
1952:Q2,0,0,510,5,0,0,0,177,0,78,5,43,51,9,4,0,315,0,315,0,510,510,0
1952:Q3,0,0,523,5,0,0,0,340,0,165,5,44,126,9,4,0,165,0,165,0,523,523,0
1952:Q4,0,0,536,5,0,0,0,198,0,61,5,45,87,10,4,0,319,0,319,0,536,536,0
1953:Q1,0,0,546,6,0,0,0,274,0,91,2,50,131,11,4,0,251,0,251,0,546,546,0
1953:Q2,0,0,558,9,0,0,0,371,0,190,1,53,127,11,5,0,162,0,162,0,558,558,0
1953:Q3,0,0,570,9,0,0,0,359,0,175,1,56,127,12,5,0,185,0,185,0,570,570,0
1953:Q4,0,0,582,7,0,0,0,223,0,30,1,61,131,13,5,0,334,0,334,0,582,582,0
1954:Q1,0,0,598,4,0,0,0,384,0,183,3,63,135,14,6,0,190,0,190,0,598,598,0
1954:Q2,0,0,611,2,0,0,0,407,0,191,3,66,147,15,6,0,181,0,181,0,611,611,0
1954:Q3,0,0,624,0,0,0,0,301,0,76,3,70,152,16,6,0,301,0,301,0,624,624,0
1954:Q4,0,0,638,-1,0,0,0,306,0,73,4,74,155,16,6,0,311,0,311,0,638,638,0
1955:Q1,0,0,652,-3,0,0,0,276,0,55,5,80,136,17,7,0,355,0,355,0,652,652,0
1955:Q2,0,0,665,-6,0,0,0,271,0,40,5,86,140,17,7,0,376,0,376,0,665,665,0
1955:Q3,0,0,679,-6,0,0,0,329,0,88,5,90,146,18,7,0,331,0,331,0,679,679,0
1955:Q4,0,0,693,-5,0,0,0,351,0,100,5,91,155,17,7,0,323,0,323,0,693,693,0
1956:Q1,0,0,714,1,0,0,0,455,0,213,2,93,147,18,8,0,232,0,232,0,714,714,0
1956:Q2,0,0,730,3,0,0,0,246,0,24,2,95,125,16,8,0,457,0,457,0,730,730,0
1956:Q3,0,0,746,5,0,0,0,233,0,26,2,98,107,19,9,0,480,0,480,0,746,746,0
1956:Q4,0,0,763,7,0,0,0,213,0,15,3,101,94,24,9,0,510,0,510,0,763,763,0
1957:Q1,0,0,784,10,0,0,0,345,0,117,7,104,117,30,11,0,388,0,388,0,784,784,0
