date,FU893181115.Q,FU103192105.Q,FU113181115.Q,FU713164005.Q,FU763194603.Q,FU753181115.Q,FU513181115.Q,FU543181115.Q,FU403192405.Q,FU613192103.Q,FU663181115.Q,FU733192103.Q,FU503181115.Q,FU263181115.Q,FU893081115.Q,FU153081115.Q,FU103081115.Q,FU113092405.Q,FU313081115.Q,FU763081115.Q,FU473092403.Q,FU513081115.Q,FU543081115.Q,FU613081115.Q,FU643092473.Q,FU663092103.Q,FU733081115.Q,FU503094505.Q,FU263092101.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1000,-8,542,10,0,1,1,1,-87,0,2,0,0,538,1000,542,194,-38,257,26,0,5,7,5,0,5,0,0,-3
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1057,30,30,9,0,-2,-7,-7,-30,-1,-3,0,0,1038,1057,32,711,-20,291,28,0,1,-1,4,0,3,0,0,8
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
